Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет); 74.7; -6.2; 322; 0; Да;бакалавриат;0;0.0;96000;0;0;0;0;109004, г.Москва, Земляной вал, 73;False;True
 Московский педагогический государственный университет; 79.5; -0.5; 1225; 5; Да;бакалавриат;20;176.0;255000;магистратура;;;;119571, город Москва, проспект Вернадского, дом 88;False;True
 Московский политехнический университет; 76.1; 2.5; 1756; 35; Да;бакалавриат;100;206.0;251100;0;0;0;0;107023 г. Москва, ул. Большая Семеновская д.38;False;True
 Московский технический университет связи и информатики; 75.1; -1.8; 1022; 18; Да;бакалавриат;40;245.0;113900;0;0;0;0;111024, г. Москва, ул. Авиамоторная, д. 8а;False;False
 Национальный исследовательский Томский государственный университет; 80.1; 0.7; 2109; 127; Да;бакалавриат;;;;магистратура;;;;634050, г. Томск, пр. Ленина 36;True;True
 Национальный исследовательский Томский политехнический университет; 74.8; -3.2; 1809; 54; Нет;бакалавриат;27;157.0;172740;магистратура;0;0.0;101000;634050, Томская область, г. Томск, просп. Ленина, д. 30;True;True
 Нижегородский государственный архитектурно-строительный университет; 69.2; -1.3; 732; 0; Нет;бакалавриат;0;0.0;500000;магистратура;0;0.0;60000;603950 г.Нижний Новгород ул.Ильинская, д. 65;False;True
 Нижегородский государственный педагогический университет имени Козьмы Минина; 74.1; -1.4; 700; 0; Нет;бакалавриат;25;194.0;131500;0;0;0;0;603950, г.Нижний Новгород, ул.Ульянова, д.1;False;True
 Новосибирский государственный архитектурно-строительный университет; 67.2; 0.5; 649; 0; Нет;бакалавриат;30;63.0;120000;0;0;0;0;630008, г. Новосибирск, ул. Ленинградская, 113;False;True
 Омский государственный педагогический университет; 68.0; 0.5; 704; 0; Нет;бакалавриат;20;128.0;65450;0;0;0;0;644099, г. Омск, Набережная им. Тухачевского, 14;False;True
 Омский государственный технический университет; 64.4; 0.9; 1891; 1; Нет;бакалавриат;0;0.0;24500;магистратура;16;51.0;69300;644050, г.Омск, пр. Мира, 11;True;True
 Орловский государственный университет имени И.С. Тургенева; 68.2; -0.9; 1581; 2; Нет;бакалавриат;48;171.0;120960;магистратура;26;82.0;127750;302026, г.Орел, ул.Комсомольская, д.95;False;True
 Пензенский государственный университет; 69.6; -2.1; 1522; 9; Да;бакалавриат;0;0.0;35040;магистратура;0;0.0;36420;440026, г.Пенза, ул.Красная, 40;True;True
 Пермский государственный гуманитарно-педагогический университет; 69.5; -1.6; 555; 0; Да;бакалавриат;0;0.0;54500;магистратура;0;0.0;129950;614990, Пермский край, г. Пермь, ул. Сибирская, д. 24;False;False
 Пермский национальный исследовательский политехнический университет; 69.0; -0.2; 1822; 0; Нет;бакалавриат;0;0.0;70000;0;0;0;0;614990, г.Пермь, Комсомольский проспект, д. 29;False;True
