university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет); 74.7; -6.2; 322; 0; Да;бакалавриат;0;0.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)»;7f000001-79c1-1a03-8179-c14e4cf60763
 Московский педагогический государственный университет; 79.5; -0.5; 1225; 5; Да;бакалавриат;20;176.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский педагогический государственный университет""";7f000001-79c1-1a03-8179-c14e4d110765
 Московский политехнический университет; 76.1; 2.5; 1756; 35; Да;бакалавриат;100;206.0;Федеральное государственное автономное образовательное учреждение высшего образования «Московский политехнический университет»;7f000001-79c1-1a03-8179-c14e84b1098a
 Московский технический университет связи и информатики; 75.1; -1.8; 1022; 18; Да;бакалавриат;40;245.0;ФГБОУ ВО «Московский технический университет связи и информатики» (МТУСИ);7f000001-79c1-1a03-8179-c14e59f10804
 Национальный исследовательский Томский государственный университет; 80.1; 0.7; 2109; 127; Да;бакалавриат;;;Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»;7f000001-79c1-1a03-8179-c14e531c07bd
 Национальный исследовательский Томский политехнический университет; 74.8; -3.2; 1809; 54; Нет;бакалавриат;27;157.0;ФГАОУ ВО «Национальный исследовательский Томский политехнический университет» (Томский Политех);7f000001-79c1-1a03-8179-c14e533d07bf
 Нижегородский государственный архитектурно-строительный университет; 69.2; -1.3; 732; 0; Нет;бакалавриат;0;0.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный архитектурно-строительный университет""";7f000001-79c1-1a03-8179-c14e4d6b076b
 Нижегородский государственный педагогический университет имени Козьмы Минина; 74.1; -1.4; 700; 0; Нет;бакалавриат;25;194.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный педагогический университет имени Козьмы Минина"" (Мининский университет)";7f000001-79c1-1a03-8179-c14e4d88076d
 Новосибирский государственный архитектурно-строительный университет; 67.2; 0.5; 649; 0; Нет;бакалавриат;30;63.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Новосибирский государственный архитектурно-строительный университет (Сибстрин)""";7f000001-79c1-1a03-8179-c14e4dd60772
 Омский государственный педагогический университет; 68.0; 0.5; 704; 0; Нет;бакалавриат;20;128.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Омский государственный педагогический университет»;7f000001-79c1-1a03-8179-c14e4e6a0778
 Омский государственный технический университет; 64.4; 0.9; 1891; 1; Нет;бакалавриат;0;0.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Омский государственный технический университет""";7f000001-79c1-1a03-8179-c14e4e790779
 Орловский государственный университет имени И.С. Тургенева; 68.2; -0.9; 1581; 2; Нет;бакалавриат;48;171.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Орловский государственный университет имени И.С.Тургенева»;7f000001-79c1-1a03-8179-c14e4ec6077e
 Пензенский государственный университет; 69.6; -2.1; 1522; 9; Да;бакалавриат;0;0.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет""";7f000001-79c1-1a03-8179-c14e4ee60780
 Пермский государственный гуманитарно-педагогический университет; 69.5; -1.6; 555; 0; Да;бакалавриат;0;0.0;ФГБОУ ВО «Пермский государственный гуманитарно-педагогический университет» (ПГГПУ);7f000001-79c1-1a03-8179-c14e4f060782
 Пермский национальный исследовательский политехнический университет; 69.0; -0.2; 1822; 0; Нет;бакалавриат;0;0.0;"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский национальный исследовательский политехнический университет""";7f000001-79c1-1a03-8179-c14e4f270783
 Поволжский государственный технологический университет ; 68.3; 2.4; 1301; 0; Нет;бакалавриат;100;118.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Поволжский государственный технологический университет""";7f000001-79c1-1a03-8179-c14e4bf30751
 Поволжский государственный университет телекоммуникаций и информатики ; 62.7; 0.4; 820; 0; Нет;бакалавриат;28;159.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Поволжский государственный университет телекоммуникаций и информатики»;7f000001-79c1-1a03-8179-c14e58b507f3
