university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Кабардино-Балкарский гос. ун-т. им. Х.М. Бербекова, г. Нальчик; 72.0; 5.2; 921; 0; Нет
 Казанская гос. академия ветеринарной медицины им. Н.Э. Баумана; 64.6; 1; 315; 0; Да
 Казанская гос. академия ветеринарной медицины им. Н.Э. Баумана; 64.6; 1; 315; 0; Да
 Казанский гос. аграрный ун-т.; 56.7; -3; 360; 0; Да
 Казанский гос. аграрный ун-т.; 56.7; -3; 360; 0; Да
 Казанский гос. архитектурно-строительный ун-т.; 76.5; 1.4; 429; 0; Да
 Казанский гос. архитектурно-строительный ун-т.; 76.5; 1.4; 429; 0; Да
 Казанский гос. медицинский ун-т.; 77.6; -3.1; 509; 8; Да
 Казанский гос. медицинский ун-т.; 77.6; -3.1; 509; 8; Да
 Казанский гос. энергетический ун-т.; 71.1; -1.4; 1045; 0; Да
 Казанский гос. энергетический ун-т.; 71.1; -1.4; 1045; 0; Да
 Казанский национальный исследовательский техн. ун-т. им. А.Н.Туполева; 75.4; 0.1; 1436; 14; Да
 Казанский национальный исследовательский техн. ун-т. им. А.Н.Туполева; 75.4; 0.1; 1436; 14; Да
 Казанский национальный исследовательский технол. ун-т.; 67.0; -2; 1819; 0; Да
 Казанский национальный исследовательский технол. ун-т.; 67.0; -2; 1819; 0; Да
 Казанский (Приволжский) федеральный ун-т.; 80.0; -0.5; 2893; 10; Да
 Казанский (Приволжский) федеральный ун-т.; 80.0; -0.5; 2893; 10; Да
 Калининградский гос. техн. ун-т.; 61.4; -4.6; 515; 0; Да
 Калининградский гос. техн. ун-т.; 61.4; -4.6; 515; 0; Да
 Калмыцкий гос. ун-т., г. Элиста; 61.1; 1.9; 729; 0; Нет
 Калмыцкий гос. ун-т., г. Элиста; 61.1; 1.9; 729; 0; Нет
 Калужский гос. ун-т. им. К.Э. Циолковского; 75.2; 0.7; 453; 1; Нет
 Калужский гос. ун-т. им. К.Э. Циолковского; 75.2; 0.7; 453; 1; Нет
 Калужский филиал Московского государственного технического ун-т.а им. Н.Э. Баумана; 66.9; -0.3; 531; 0; Да
 Калужский филиал Московского государственного технического ун-т.а им. Н.Э. Баумана; 66.9; -0.3; 531; 0; Да
 Карачаево-Черкесский гос. ун-т. им. У.Д. Алиева; 59.6; 2.5; 368; 0; Нет
 Карачаево-Черкесский гос. ун-т. им. У.Д. Алиева; 59.6; 2.5; 368; 0; Нет
 Кемеровский гос. медицинский ун-т.; 67.5; -2.9; 654; 0; Да
