university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link
Магнитогорский+гос.+техн.+ун-т.+им.+Г.И.+Носова; 64.8;1;1405;2; Нет;0
;;;;;;
Майкопский+гос.+технол.+ун-т.; 60.4; 2.2;344;0; Нет;https://ruvuz.ru/majkop/mgtu
;;;;;;
Марийский+гос.+ун-т.,+г.+Йошкар-Ола; 66.9; 1.2;1277;0; Нет;0
;;;;;;
МИРЭА+-+Российский+технол.+ун-т.; 81.5; 1.6;3031;54; Да;https://ruvuz.ru/moskva/rtu-mirea/bakalavriat-i-spetsialitet
;;;;;;
Мичуринский+гос.+аграрный+ун-т.; 53.8; -2.2;501;0; Нет;0
;;;;;;
Мордовский+гос.+педагогический+ин-т.+им.+М.Е.+Евсевьева,+г.+Саранск; 64.2; -0.6;575;0; Нет;0
;;;;;;
Морской+гос.+ун-т.+им.+адмирала+Г.И.+Невельского,+г.+Владивосток; 58.1; 1.5;444;0; Нет;0
;;;;;;
Моск.+авиационный+ин-т.+(национальный+исследовательский+ун-т.); 78.5;1;2790;22; Да;https://ruvuz.ru/moskva/mai
;;;;;;
Моск.+автомобильно-дорожный+гос.+техн.+ун-т.+(МАДИ); 65.7; -0.5;794;1; Да;0
;;;;;;
Моск.+городской+педагогический+ун-т.; 87.2; 1.7;1094;82; Да;https://ruvuz.ru/moskva/mgpu
;;;;;;
Моск.+гос.+ин-т.+международных+отношений; 96.7; 0.5;405;102; Да;0
;;;;;;
Моск.+гос.+лингвистический+ун-т.; 89.6;0;532;48; Да;0
;;;;;;
Моск.+гос.+медико-стоматологический+ун-т.; 81.9; -0.3;642;23; Да;0
;;;;;;
Моск.+гос.+областной+ун-т.; 73.8;1;840;14; Да;0
;;;;;;
Моск.+гос.+психолого-педагогический+ун-т.; 79.3; 2.9;500;0; Нет;0
;;;;;;
Моск.+гос.+техн.+ун-т.+гражданской+авиации; 64.9; -0.6;575;0; Да;0
;;;;;;
Моск.+гос.+техн.+ун-т.+им.+Н.Э.+Баумана; 82.7; 0.8;3551;201; Да;0
;;;;;;
"Моск.+гос.+технол.+ун-т.+""Станкин"""; 71.2; -0.5;829;3; Да;0
;;;;;;
Моск.+гос.+ун-т.+геодезии+и+картографии; 70.9; -2.8;467;2; Да;https://ruvuz.ru/moskva/090000-informatika-i-vyichislitelnaya-tehnika/090302-informatsionnyie-sistemyi-i-tehnologii
;;;;;;
Моск.+гос.+ун-т.+им.+М.В.+Ломоносова; 90.2; -0.6;3835;496; Да;0
;;;;;;
Моск.+гос.+ун-т.+пищевых+производств; 76.8; 1.6;591;0; Да;0
;;;;;;
Моск.+гос.+ун-т.+технологий+и+управления+им.+К.Г.+Разумовского+(Первый+казачий+ун-т.); 74.7; -6.2;322;0; Да;0
;;;;;;
Моск.+гос.+юридический+ун-т.+им.+О.Е.+Кутафина; 89.6; -0.3;809;79; Да;0
;;;;;;
Моск.+педагогический+гос.+ун-т.; 79.5; -0.5;1225;5; Да;0
;;;;;;
Моск.+политехн.+ун-т.; 76.1; 2.5;1756;35; Да;https://ruvuz.ru/270000-upravlenie-v-tehnicheskih-sistemah
;;;;;;
Моск.+техн.+ун-т.+связи+и+информатики; 75.1; -1.8;1022;18; Да;https://ruvuz.ru/moskva/mpgu/aspirantura
;;;;;;
Моск.+физико-техн.+ин-т.; 97.1; -0.5;914;382; Да;https://ruvuz.ru/velikie-luki/160000-fiziko-tehnicheskie-nauki-i-tehnologii
;;;;;;
Мурманский+гос.+техн.+ун-т.; 64.0; -1.4;408;0; Да;0
;;;;;;
Мытищинский+филиал+МГТУ+им.+Н.+Э.+Баумана+(МГУЛ); 64.4; 3.3;512;0; Да;0
;;;;;;
Набережночелнинский+ин-т.+(филиал)+Казанского+(Приволжского)+федерального+ун-т.а; 66.1; 2.8;734;0; Да;https://ruvuz.ru/kazan/kfu/430000-servis-i-turizm/430301-servis
;;;;;;
Национальный+исследовательский+Мордовский+гос.+ун-т.+им.+Н.П.+Огарева,+г.+Саранск; 67.4; -0.2;1572;4; Нет;0
;;;;;;
Национальный+исследовательский+Моск.+гос.+строительный+ун-т.; 74.3; -0.3;1755;5; Да;0
;;;;;;
Национальный+исследовательский+Нижегородский+гос.+ун-т.+им.+Н.И.+Лобачевского; 78.7; 1.5;1749;32; Да;0
;;;;;;
"Национальный+исследовательский+технол.+ун-т.+""МИСиС"",+г.+Москва"; 88.8; 0.4;698;150; Да;https://ruvuz.ru/moskva/ranhigs/3790-institut-ekonomiki-matematiki-i-informatsionnyih-tehnologij-emit--fakultet-informatsi/370000-psihologicheskie-nauki
;;;;;;
