Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;5;118.0;51800;магистратура;6;43.0;192800;1505234e-7e6c-4b3b-9fd9-b712810da33b;191186, г.Санкт-Петербург, ул.Большая Морская, д.18;False;True;http://prouniver.ru/uploads/priecom/2022/kcp_bc_22.pdf
 Санкт-Петербургский государственный университет промышленных технологий и дизайна; 79.5; -1.1; 906; 208; Да;бакалавриат;5;118.0;51800;магистратура;6;43.0;192800;1505234e-7e6c-4b3b-9fd9-b712810da33b;191186, г.Санкт-Петербург, ул.Большая Морская, д.18;False;True;http://prouniver.ru/uploads/priecom/2022/kcp_bc_22.pdf
 Саратовский государственный технический университет; 66.5; 1.8; 1098; 0; Нет;бакалавриат;15;144.0;113080;магистратура;7;70.0;119810;06d0f532-f5cb-4cfe-abbf-05f72e0cc05a;410054, г.Саратов, ул.Политехническая, д. 77;True;True;https://www.sstu.ru/upload/medialibrary/86b/Kol_mest_VO_2021_bak_i_spets_mart_21-_2_.docx
 Северо-Кавказский горно-металлургический институт (государственный технологический университет) ; 52.8; -6; 617; 0; Да;бакалавриат;0;0.0;19000;магистратура;;;;11088c88-8647-40f8-ab18-1c4e9e28c822;РСО-Алания, г. Владикавказ, ул. Николаева, 44;False;True;http://www.skgmi-gtu.ru/ru-ru/abitur
 Сибирский государственный индустриальный университет ; 65.3; 2.3; 1095; 1; Нет;бакалавриат;20;224.0;41480;магистратура;;;;aa29b86f-5cf0-418b-9b31-fa9d4421f3e9;654007, Кемеровская область - Кузбасс, г. Новокузнецк, Центральный р-н, ул. Кирова, зд. 42;False;True;https://www.sibsiu.ru/abiturientu/AbitReport/index2.php?sphrase_id=454970
 Сибирский федеральный университет; 70.1; -1; 3337; 8; Да;бакалавриат;45;123.0;51194;магистратура;44;41.0;188584;ed090e19-9cf6-40f3-b40d-d4f69a2aabea;660041, Красноярский край, г. Красноярск, просп. Свободный, д. 79;True;True;https://admissions.sfu-kras.ru/exams
 Тверской государственный технический университет; 61.6; -0.4; 552; 0; Нет;бакалавриат;17;118.0;125420;магистратура;0;0.0;38000;f781d9fe-e5d1-45c6-b4f1-fbdec58c090b;170026. г.Тверь, наб. А.Никитина, дом 22;True;True;http://www.new.tstu.tver.ru/abitur/bachelor/#pills-aboutPlan
 Тверской государственный университет; 68.6; -3.5; 856; 0; Да;бакалавриат;17;118.0;125420;магистратура;0;0.0;38000;f781d9fe-e5d1-45c6-b4f1-fbdec58c090b;170026. г.Тверь, наб. А.Никитина, дом 22;True;True;http://www.new.tstu.tver.ru/abitur/bachelor/#pills-aboutPlan
 Уральский государственный аграрный университет ; 63.2; 2.4; 458; 0; Нет;бакалавриат;25;118.0;51000;0;0;0;0;d0720ddc-73c8-4859-9cb9-aab708eb04de;620075, Свердловская область, г. Екатеринбург, ул. Карла Либкнехта, д. 42;False;False;http://urgau.ru/images/priem2021/KCP_bak_cel.pdf http://urgau.ru/images/priem2021/KCP_mag_cel.pdf
 Уральский государственный горный университет ; 67.9; 0.4; 667; 0; Да;бакалавриат;5;118.0;60000;магистратура;0;0.0;65000;caa1c0f9-4e76-4dc2-bb21-280dea64da0c;620144, Свердловская область, г.Екатеринбург, ул.Куйбышева, д.30;False;True;http://abit.ursmu.ru/importante/kontrolnye-cifry-priema.html
 Уральский государственный лесотехнический университет ; 64.0; -0.6; 683; 0; Нет;бакалавриат;15;193.0;30000;0;0;0;0;5a8f97c4-23cc-440e-87e3-92d3e26715d1;620100, Свердловская область, г. Екатеринбург, ул. Сибирский тракт, д. 37;False;True;http://usfeu.ru/abiturientu/bakalavriat/kolichestvo-mest/
 Уральский федеральный университет имени Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да;бакалавриат;25;186.0;130400;магистратура;15;71.0;126400;f255a4e8-15cf-45d0-a121-19f6f61d0c5d;620002, Свердловская область, г. Екатеринбург, ул. Мира, д. 19;True;True;https://urfu.ru/fileadmin/user_upload/urfu.ru/documents/applicant/2021/postuplenie-vo/Plan_priema_bakalavriat_specialitet_2021.pdf
 Уфимский государственный авиационный технический университет; 69.2; -1.2; 1404; 7; Нет;бакалавриат;20;134.0;123540;0;0;0;0;6119c816-9894-47f3-8d85-188bba571e88;450000, Республика Башкортостан, г. Уфа, ул. К. Маркса, д. 12;True;True;https://ugatu.su/abitur/bachelor-and-specialist/admission-plan/2022/
 Уфимский государственный нефтяной технический университет; 73.4; -2.8; 1766; 33; Да;бакалавриат;48;0.0;125000;магистратура;7;0.0;117000;3e989242-fe92-4e7d-b5f9-43a9298079f7;450064, Республика Башкортостан, г.Уфа, ул.Космонавтов, 1;False;True;http://pk.rusoil.net/page/plan-priema-na-programmy-bakalavriata-i-specialiteta
 Ухтинский государственный технический университет; 60.4; 2.6; 604; 0; Нет;бакалавриат;30;118.0;66000;магистратура;15;50.0;186000;9b9a6608-acde-43d9-a9da-8bc7dc2de88f;169300, Республика Коми, г.Ухта, ул. Первомайская, д. 13;False;True;https://www.ugtu.net/abitur/bachelor
 Череповецкий государственный университет; 65.7; 0.4; 967; 0; Нет;бакалавриат;27;195.0;25300;0;0;0;0;4968869f-f085-4c90-b3ae-6f8a78695407;162600, Россия, Вологодская область, г. Череповец, проспект Советский, д.10;False;True;https://pk.chsu.ru/dokumenty/podannye-zayavleniya.php
 Южно-Российский государственный политехнический университет имени М.И. Платова ; 59.5; 2.2; 942; 1; Да;бакалавриат;20;169.0;28500;магистратура;8;183.0;33900;14aa519e-7f4f-4468-9b64-1d691477f44b;346428, Ростовская область, г.Новочеркасск, ул. Просвещения 132;True;True;https://abiturient.npi-tu.ru/assets/files/docs/2021/%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BE%20%D0%BA%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%20%D0%B3%D1%80%D0%B0%D0%B6%D0%B4%D0%B0%D0%BD%20%D0%AE%D0%A0%D0%93%D0%9F%D0%A3%20(%D0%9D%D0%9F%D0%98)%20%D0%B8%D0%BC.%20%D0%9C.%D0%98.%D0%9F%D0%BB%D0%B0%D1%82%D0%BE%D0%B2%D0%B0.pdf
