university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link;link to file
Бирский+филиал+Башкирского+государственного+ун-т.а; 63.4; 0.3;365;0; Да;https://birsk.ru/node/136;;https://www.birsk.ru/abitur/archive/priemnaya-kompaniya-2021-22/bachelor/;https://www.birsk.ru/abitur/bachelor/;https://www.birsk.ru/system/files/stydenty/Protokol_no2_ot_28.02.2022.pdf;https://www.birsk.ru/system/files/stydenty/Protokol_no5_ot_21.05.2021.pdf;https://www.birsk.ru/system/files/stydenty/Protokol_no_3_ot_26.02.2021.pdf;https://www.birsk.ru/system/files/stydenty/Protokol_ot_27.04.2021_g._no4.pdf;https://www.birsk.ru/system/files/stydenty/Protokol_no1_ot_23.09.2021.pdf;https://www.birsk.ru/system/files/sveden/Othet_o_samoobsledovanii-2021.pdf
Бурятская+гос.+сельскохозяйственная+академия+им.+В.Р.+Филиппова,+г.+Улан-Удэ; 58.0; 0.6;399;0; Нет;http://moodle.bgsha.ru/abitur/;;0
Бурятский+гос.+ун-т.,+г.+Улан-Удэ; 63.0; -0.9;792;0; Да;https://www.bsu.ru/abit/;;https://www.bsu.ru/education/programs/14649-1/;https://www.bsu.ru/university/vacant/;https://www.bsu.ru/pps/?pid=69872;https://www.bsu.ru/pps/?pid=3601;https://www.bsu.ru/pps/?pid=69686;https://www.bsu.ru/pps/?pid=69568;https://www.bsu.ru/pps/?pid=69663;https://www.bsu.ru/pps/?pid=69949;https://www.bsu.ru/pps/?pid=69871;https://www.bsu.ru/pps/?pid=69953
Братский+гос.+ун-т.; 53.2; -5.2;355;0; Да;https://brstu.ru/abitur;;https://brstu.ru/205-abitur?layout=?layout=&start=0;https://brstu.ru/sveden/education;https://brstu.ru/193-sveden?layout=;https://brstu.ru/193-sveden?start=5;https://brstu.ru/docs/podrazdeleniya-brgu/umu/otchet-obrazovanie-19.pdf;https://brstu.ru/docs/podrazdeleniya-brgu/umu/otchet-obrazovanie-20.pdf;https://brstu.ru/196-faculties?start=0?start=0;https://brstu.ru/sveden-file/document/Othet_o_samoobsledovanii_16.04.2021.pdf;https://brstu.ru/sveden-file/document/Othet_o_samoobsledovanii_16.04.2020.pdf;https://brstu.ru/docs/faculties/feiu-eim/konference/online/2017.pdf
Брянский+гос.+аграрный+ун-т.; 48.8;0;391;0; Нет;https://www.bgsha.com/abitur/;;0
Брянский+гос.+техн.+ун-т.; 63.1; -0.8;771;0; Да;https://www.tu-bryansk.ru/abiturient/;;https://www.tu-bryansk.ru/abiturient/specialty/detail.php?id=109;https://www.tu-bryansk.ru/abiturient/specialty/detail.php?id=111;https://www.tu-bryansk.ru/abiturient/feedback/?%2Fabiturient%2Ffeedback%2Findex_php%3FPAGEN_1=22&PAGEN_1=53;https://www.tu-bryansk.ru/abiturient/specialty/;https://www.tu-bryansk.ru/abiturient/cpage/29.htm?filter=y&forma=%D0%9E%D1%87%D0%BD%D0%B0%D1%8F&faculity=%D0%A4%D0%B0%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D0%B5%D1%82%20%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D1%85%20%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B9;https://www.tu-bryansk.ru/upload/medialibrary/7e8/%D0%9C%D0%B5%D1%81%D1%82%D0%B0%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%202021-2022%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D0%B9%20%D0%B3%D0%BE%D0%B4_%D0%91%D0%90%D0%9A%D0%90%D0%9B%D0%90%D0%92%D0%A0%D0%98%D0%90%D0%A2,%20%D0%A1%D0%9F%D0%95%D0%A6%D0%98%D0%90%D0%9B%D0%98%D0%A2%D0%95%D0%A2,%20%D0%9C%D0%90%D0%93%D0%98%D0%A1%D0%A2%D0%A0%D0%90%D0%A2%D0%A3%D0%A0%D0%90.pdf;https://www.tu-bryansk.ru/upload/medialibrary/be2/%D0%9A%D0%A6%D0%9F%202022_2023_%D0%BD%D0%B0%20%D1%81%D0%B0%D0%B9%D1%82.pdf;https://www.tu-bryansk.ru/sveden/education/index.php?special_version=Y;https://www.tu-bryansk.ru/upload/medialibrary/b91/%D0%9F%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%20%E2%84%96%20908-3%20%D0%BE%D1%82%2006.08.2021_%D0%A6%D0%B5%D0%BB%D0%B5%D0%B2%D0%B0%D1%8F%20%D0%BA%D0%B2%D0%BE%D1%82%D0%B0%20%D0%9E%D0%A7%D0%9D%D0%90%D0%AF%20%D1%84%D0%BE%D1%80%D0%BC%D0%B0.pdf;https://www.tu-bryansk.ru/upload/medialibrary/5ef/2%20-%20%D0%A0%D0%B0%D1%81%D0%BF%D1%80%D0%B5%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%9A%D0%A6%D0%9F%20%D0%B8%20%D0%BF%D0%BB%D0%B0%D1%82%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%BF%D0%BE%20%D0%9D%D0%9F%D0%A1%20%D0%BD%D0%B0%202021-2022%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D0%B9%20%D0%B3%D0%BE%D0%B4_%D0%BD%D0%B0%20%D1%81%D0%B0%D0%B9%D1%82%2001.06.2021.pdf
Брянский+гос.+ун-т.+им.+И.Г.+Петровского; 71.2; 0.8;349;0; Нет;https://brgu.ru/Abitur/;;https://brgu.ru/sveden/education/;https://brgu.ru/sveden/education/docs/opop/fmf/02.03.02_FIiIT/zaochnay/2018/OPOP_FIiIT_Z_2018.pdf;https://brgu.ru/sveden/document/samoobsl2019_bgu.pdf;http://www.brgu.ru/bank/spec_razdel/samoobsl2017.pdf
Владивостокский+гос.+ун-т.+экономики+и+сервиса; 65.6; -6.8;357;0; Нет;https://vvsu.ru/enter/;;https://www.vvsu.ru/enter/high/bach/;https://www.vvsu.ru/files/3E9FF1B8-B567-4395-A0F1-8C3D57D4B87F.xlsx;https://www.vvsu.ru/signed/rpd/?id=2149192185&pln=20463&file=%D0%A0%D0%9F%D0%94%20%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84%D0%B8%D1%8F;https://www.vvsu.ru/sveden/education/5/;https://www.vvsu.ru/files/6D5D03D4-9921-4408-9DB8-5364995BFBB5;https://www.vvsu.ru/files/39BCEDA3-31C1-462B-AE46-62398865B312.pdf;https://students.vvsu.ru/files/1842B76C-0657-44A2-A950-48F0A8934BC9.pdf;https://science.vvsu.ru/files/3E923BD9-A3A6-48B0-A79D-C43534CBE64E;https://lib.vvsu.ru/files/904E6307-CD02-4D91-AE2B-B20CB91B0B77.xls;https://lib.vvsu.ru/files/A386D1A2-0AF1-4A67-8A8E-B2EAC4384C3E.xlsx
Владимирский+гос.+ун-т.; 64.0; -1.9;1420;0; Да;https://prkom.vlsu.ru/;;https://prkom.vlsu.ru/direction.html
Волжский+гос.+ун-т.+водного+транспорта,+г.+Нижний+Новгород; 53.4; -0.3;480;0; Нет;https://vsuwt.ru/obrazovanie/postup/;;0
