university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link;link2
Ульяновский+гос.+техн.+ун-т.; 66.8; 0.8;888;1; Да;https://abiturient.ulsu.ru/;
Ульяновский+гос.+ун-т.; 66.3;-1;853;0; Нет;https://abiturient.ulsu.ru/;
Удмуртский+гос.+ун-т.,+г.+Ижевск; 67.2; -1.6;1264;6; Да;https://udsu.ru/admissions/committee#:~:text=%D0%A0%D0%B5%D0%B6%D0%B8%D0%BC%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%BD%D0%BE%D0%B9%20%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%B8%3A,)%2091%2D62%2D62.;
Ун-т.+ИТМО,+г.+Санкт-Петербург; 93.7; 0.6;1336;512; Да;https://abit.itmo.ru/page/81/;
Уфимский+гос.+авиационный+техн.+ун-т.; 69.2; -1.2;1404;7; Нет;https://ugatu.su/abitur/;
Уфимский+гос.+нефтяной+техн.+ун-т.; 73.4; -2.8;1766;33; Да;http://www.pk.rusoil.net/;
Ухтинский+гос.+техн.+ун-т.; 60.4; 2.6;604;0; Нет;https://www.ugtu.net/abitur;
Уральский+гос.+лесотехн.+ун-т.,+г.+Екатеринбург; 64.0; -0.6;683;0; Нет;http://usfeu.ru/;
Уральский+гос.+аграрный+ун-т.,+г.+Екатеринбург; 63.2; 2.4;458;0; Нет;http://urgau.ru/abiturientam2;
Уральский+гос.+педагогический+ун-т.,+г.+Екатеринбург; 74.3; -0.5;699;2; Нет;https://uspu.ru/abitur/;
Уральский+гос.+горный+ун-т.,+г.+Екатеринбург; 67.9; 0.4;667;0; Да;http://abit.ursmu.ru/;
Уральский+гос.+медицинский+ун-т.,+г.+Екатеринбург; 74.6; 2.1;780;1; Да;https://usma.ru/abitur/priemnaya-kampaniya-2021-2022-uch-gg/;
Уральский+гос.+юридический+ун-т.,+г.+Екатеринбург; 83.5; -0.4;441;1; Нет;https://xn--c1azic8c.xn--p1ai/;
